created_at,entry_id,temperatura
2025-02-26T03:13:37+00:00,1,30.3
2025-02-26T03:13:53+00:00,2,30.46
2025-02-26T03:14:09+00:00,3,29.9
2025-02-26T03:14:25+00:00,4,29.73
2025-02-26T03:14:41+00:00,5,29.41
2025-02-26T03:14:57+00:00,6,29.73
2025-02-26T03:15:14+00:00,7,30.3
2025-02-26T03:15:30+00:00,8,29.82
2025-02-26T03:15:46+00:00,9,29.9
2025-02-26T03:16:02+00:00,10,30.06
2025-02-26T03:16:18+00:00,11,29.98
2025-02-26T03:16:35+00:00,12,29.49
2025-02-26T03:16:51+00:00,13,29.41
2025-02-26T03:17:07+00:00,14,29.57
2025-02-26T03:17:23+00:00,15,30.3
2025-02-26T03:17:39+00:00,16,30.14
2025-02-26T03:17:55+00:00,17,30.14
2025-02-26T03:18:12+00:00,18,29.82
2025-02-26T03:18:28+00:00,19,29.65
2025-02-26T03:18:44+00:00,20,30.38
2025-02-26T03:19:00+00:00,21,29.98
2025-02-26T03:19:16+00:00,22,29.65
2025-02-26T03:19:33+00:00,23,30.22
2025-02-26T03:19:49+00:00,24,30.22
2025-02-26T03:20:05+00:00,25,30.54
2025-02-26T03:20:21+00:00,26,30.14
2025-02-26T03:20:37+00:00,27,29.73
2025-02-26T03:20:53+00:00,28,30.54
2025-02-26T03:21:09+00:00,29,29.98
2025-02-26T03:21:26+00:00,30,30.3
2025-02-26T03:21:42+00:00,31,29.82
2025-02-26T03:21:58+00:00,32,30.38
2025-02-26T03:22:14+00:00,33,30.62
2025-02-26T03:22:30+00:00,34,30.3
2025-02-26T03:22:46+00:00,35,30.46
2025-02-26T03:23:02+00:00,36,30.06
2025-02-26T03:23:19+00:00,37,30.14
2025-02-26T03:23:35+00:00,38,30.62
2025-02-26T03:23:51+00:00,39,30.06
2025-02-26T03:24:07+00:00,40,30.38
2025-02-26T03:24:23+00:00,41,30.46
2025-02-26T03:24:39+00:00,42,30.06
2025-02-26T03:24:56+00:00,43,29.73
2025-02-26T03:25:12+00:00,44,29.9
2025-02-26T03:25:28+00:00,45,30.3
2025-02-26T03:25:44+00:00,46,30.38
2025-02-26T03:26:00+00:00,47,30.22
2025-02-26T03:26:16+00:00,48,29.57
2025-02-26T03:26:33+00:00,49,30.54
2025-02-26T03:26:49+00:00,50,30.78
2025-02-26T03:27:05+00:00,51,30.06
2025-02-26T03:27:21+00:00,52,30.54
2025-02-26T03:27:37+00:00,53,30.62
2025-02-26T03:27:53+00:00,54,30.54
2025-02-26T03:28:10+00:00,55,30.7
